node_id,Airport ID,Name,City,Country,IATA/FAA,ICAO,Latitude,Longitude,Altitude,Timezone,DST,alpha-2_x,alpha-3,name,alpha-2_y,country-code,iso_3166-2,region,sub-region,intermediate-region,region-code,sub-region-code,intermediate-region-code
1234,2769,Tte Av Jorge Henrich Arauz,Trinidad,Bolivia,TDD,SLTR,-14.818739,-64.918019,509,-4.0,U,BO,BOL,Bolivia (Plurinational State of),BO,68.0,ISO 3166-2:BO,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
1235,2771,Viru Viru Intl,Santa Cruz,Bolivia,VVI,SLVR,-17.644756,-63.135364,1225,-4.0,U,BO,BOL,Bolivia (Plurinational State of),BO,68.0,ISO 3166-2:BO,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
1236,2772,Yacuiba,Yacuiba,Bolivia,BYC,SLYA,-21.960925,-63.651669,2116,-3.0,U,BO,BOL,Bolivia (Plurinational State of),BO,68.0,ISO 3166-2:BO,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
1237,2773,Johan A Pengel Intl,Zandery,Suriname,PBM,SMJP,5.452831,-55.187783,59,-3.0,U,SR,SUR,Suriname,SR,740.0,ISO 3166-2:SR,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
1238,2774,Rochambeau,Cayenne,French Guiana,CAY,SOCA,4.819808,-52.360447,26,-3.0,U,GF,GUF,French Guiana,GF,254.0,ISO 3166-2:GF,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
1239,2781,Cap Fap David Abenzur Rengifo Intl,Pucallpa,Peru,PCL,SPCL,-8.377939,-74.574297,513,-5.0,U,PE,PER,Peru,PE,604.0,ISO 3166-2:PE,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
1240,2785,Capt Jose A Quinones Gonzales Intl,Chiclayo,Peru,CIX,SPHI,-6.787475,-79.828097,97,-5.0,U,PE,PER,Peru,PE,604.0,ISO 3166-2:PE,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
1241,2786,Coronel Fap Alfredo Mendivil Duarte,Ayacucho,Peru,AYP,SPHO,-13.154819,-74.204417,8917,-5.0,U,PE,PER,Peru,PE,604.0,ISO 3166-2:PE,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
1242,2787,Andahuaylas,Andahuaylas,Peru,ANS,SPHY,-13.706408,-73.350378,11300,-5.0,U,PE,PER,Peru,PE,604.0,ISO 3166-2:PE,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
1243,2788,Comandante Fap German Arias Graziani,Anta,Peru,ATA,SPHZ,-9.347444,-77.598392,9097,-5.0,U,PE,PER,Peru,PE,604.0,ISO 3166-2:PE,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
1244,2789,Jorge Chavez Intl,Lima,Peru,LIM,SPIM,-12.021889,-77.114319,113,-5.0,U,PE,PER,Peru,PE,604.0,ISO 3166-2:PE,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
